Station,District,Elevation(masl),Max,Min,Year
Lete,Mustang,2617,17,6,2019
Nepalgunj Airport,,NA,31.9,18.6,2019
Okhaldhunga,,1725,22.5,12.6,2019
Baitadi Gothalapani ,Baitadi,1352,30.1,NA,2020
Patan West ,Baitadi,1292,NA,NA,2020
Dadeldhura,Dadeldhura,1879,21.1,NA,2020
Mahendra Nagar,Kanchanpur,197,29.8,NA,2020
Darchula,Darchula,945,NA,NA,2020
Dainsili Sidhhapur ,Baitadi,2083,NA,NA,2020
Darchula New,Darchula,887,28,NA,2020
Patan new,Baitadi,1299,NA,NA,2020
Silgadhi Doti,Doti,1309,NA,NA,2020
Bajura Martadi ,Bajura,1598,23.1,NA,2020
Tikapur,Kailali,149,30.3,NA,2020
Dhangadhi Attariya ,Kailali,184,30.2,NA,2020
Godavari West ,Kailali,280,NA,NA,2020
Mangalsen,Achham,1310,24.9,NA,2020
Dipayal Doti ,Doti,563,29.6,NA,2020
Oli Gaun Patkani ,Achham,989,28.3,NA,2020
Gokuleshwar,Kailali,761,NA,NA,2020
Chainpur Bajhang AWS,,1405,NA,NA,2020
Jumla,Jumla,2363,20.9,NA,2020
Gam Shree Nagar,Mugu,2113,22.4,NA,2020
Rara,Mugu,2989,11.9,NA,2020
Nagma,Kalikot,2017,21.7,NA,2020
Dipal Gaun,Jumla,2422,NA,NA,2020
Simikot,Humla,2993,NA,NA,2020
Dunai,Dolpa,2098,22.3,NA,2020
Manma,kalikot,1729,21.6,NA,2020
Kaigaun,Dolpa,2683,NA,NA,2020
Jumla Airport,Jumla,2384,NA,NA,2020
Pusma Camp,Surkhet,953,24.6,NA,2020
Dailekh,Dailekh,1394,24.7,14,2020
"Surkhet Airport, Birendranagar ",Surkhet,683,28.2,NA,2020
Gulariya,Bardiya,126,29.7,NA,2020
Khajura Nepalganj ,Banke,129,30.2,NA,2020
Nepalgunj Reg Off ,Banke,141,NA,NA,2020
Rani Jaruwa Nursery,Bardiya,145,NA,NA,2020
Sikta,Banke,161,30.3,NA,2020
Mehalkuna,Surkhet,464,30,NA,2020
Libang Gaun,Rolpa,1314,26.1,12,2020
Bijuwar Tar,Pyuthan,835,28.6,16,2020
Tulsipur,Dang,683,26.6,NA,2020
Salyan Bazar,Salyan,1557,24.6,14,2020
Chaurjhari Tar,Rukum,863,NA,NA,2020
Musikot Rukumkot ,Rukum,1412,24.7,NA,2020
Ghorai Dang ,Dang,663,27.8,NA,2020
Jomsom,Mustang,0,17.4,NA,2020
Jomsom Resort,Mustang,2846,20.3,NA,2020
Thakmarpha,Mustang,2655,17,NA,2020
Baglung,Baglung,964,27.3,NA,2020
Bahrabise,Sindhupalchok,,28.2,NA,2020
Kushma,Parbat,900,28,NA,2020
Gurja Khani,Myagdi,2627,21.6,NA,2020
Bhimgithhe,Baglung,1008,NA,NA,2020
Chhoser,Mustang,3886,13.8,NA,2020
Tansen,Palpa,1183,24.8,NA,2020
Bhairahawa Airport,Rupandehi,108,30.5,NA,2020
Dumkauli,Nawalpur,183,31.7,NA,2020
Bhairahawa Agric ,Rupandehi,112,30.7,NA,2020
Parasi,Nawalparasi,112,30.1,NA,2020
Khanchikot,Arghakhachi,1801,20.5,NA,2020
Taulihawa,Kapilvastu,106,29.3,NA,2020
Tamghas,Gulmi,1547,NA,NA,2020
Semari,Nawalparasi,110,29.8,NA,2020
Lumbini,Rupandehi,95,NA,NA,2020
Anp Chour,,738,30.3,NA,2020
Sandhikharka,Arghakhachi,1030,26.3,NA,2020
Khudi Bazar,Lamjung,838,27.5,NA,2020
Pokhara Airport,Kaski,803.9,26.9,NA,2020
Syangja,Syangja,871,26.3,NA,2020
Bandipur,Tanahu,991,25.1,NA,2020
Gorkha Birenchowk ,Gorkha,724,26.8,NA,2020
Chapakot,Syangja,617,28.9,NA,2020
Malepatan Pokhara ,Kaski,859,26,NA,2020
Lumle,Kaski,1738,19.9,NA,2020
Khairini Tar,Tanahun,515,28.8,NA,2020
Damauli,Tanahun,347,28.8,NA,2020
Dandaswara,Syangja,1316,23.2,NA,2020
Ghalekharka,Kaski,1665,20.9,12,2020
Begnas,Kaski,682,NA,NA,2020
Bhorletar,Lamjung,469,NA,NA,2020
Panchase,Parbat,2492,NA,NA,2020
Humde,Manang,3401,NA,NA,2020
Rampur,Chitwan,189,30.1,NA,2020
Daman,Makwanpur,2265,18.6,NA,2020
Hetauda N F I ,Makwanpur,452,28.5,NA,2020
Simara Airport,Bara,137,29.9,NA,2020
Parwanipur,Bara,87,29.7,NA,2020
Birganj,Parsa,67,NA,NA,2020
Kalaiya,Bara,100,NA,NA,2020
Gaur,Rautahat,77,NA,NA,2020
Bharatpur,Chitwan,216,NA,NA,2020
Kakani,Nuwakot,2002,19.1,NA,2020
Chautara,Sindhupalchok,1552,25.1,13,2020
Sarmathang,Sindhupalchok,2574,15.7,NA,2020
Dhulikhel,Kavre,1543,23.4,NA,2020
Khumaltar,Lalitpur,1334,24.3,NA,2020
Kathmandu Airport,,1337,25.3,NA,2020
Panchkhal,Kavre,857,28.1,NA,2020
Dhunibesi,Dhading,991,26.1,NA,2020
Panipokhari Kathmandu ,Kathmandu,1329,NA,NA,2020
Nagarkot,Bhaktapur,,18.4,NA,2020
Bhaktapur,Bhaktapur,1315,26.2,NA,2020
Dhunche,Rasuwa,2005,19.7,NA,2020
Pansayakhola,Nuwakot,1982,19.2,NA,2020
Changu Narayan,Bhaktapur,1502,25.1,NA,2020
Khokana,Lalitpur,1309,NA,NA,2020
Charikot,Dolakha,2132,22.6,NA,2020
Jiri,Dolakha,1877,20.7,NA,2020
Sindhuli Madhi,Sindhuli,556,NA,NA,2020
Janakpur Airport,Dhanusha,76,NA,NA,2020
Hardinath,Dhanusha,93,NA,NA,2020
Manusmara,Sarlahi,90,NA,NA,2020
Karmaiya,Sarlahi,139,NA,NA,2020
Jalesor,Mahottari,68,NA,NA,2020
Manthali,Ramechhap,497,NA,NA,2020
Kabre,Dolakha,1755,23.4,NA,2020
Phattepur,Saptari,101,30.3,NA,2020
Udayapur Gadhi,,469,28.6,NA,2020
Lahan,Siraha,110,30.1,NA,2020
Siraha,,63,NA,NA,2020
Salleri,,2383,NA,NA,2020
Diktel,Khotang,1612,21.8,NA,2020
Rajbiraj,Saptari,68,30,NA,2020
Num,Sankhuwasabha,1494,NA,NA,2020
Chainpur East ,Sankhuwasabha,1277,25.4,NA,2020
Pakhribas,Dhankuta,1720,20.7,NA,2020
Dhankuta,Dhankuta,1192,25.1,NA,2020
Dharan Bazar,sunsari,310,29.2,NA,2020
Terhathum,,1525,NA,NA,2020
Chatara,Sunsari,105,31,NA,2020
Biratnagar Airport,Morang,72,30.1,NA,2020
Tarahara,Sunsari,120,NA,NA,2020
Tumlingtar,Sankhuwasabha,477,NA,NA,2020
Khadbari,Sankhuwasabha,1064,25.7,NA,2020
Taplejung,Taplejung,1744,21.6,NA,2020
Ilam Tea Estate,Ilam,1208,NA,NA,2020
Damak,Jhapa,119,NA,NA,2020
Chandra Gadhi,Jhapa,90,NA,NA,2020
Kanyam Tea Estate,Ilam,1570,20.1,NA,2020
Phidim Panchther ,Panchthar,1157,26.5,NA,2020
Dovan,TAPLEJUNG,700,NA,NA,2020
Gaida Kankai ,Jhapa,107,NA,NA,2020
Kechana,Jhapa,71,29.7,NA,2020
Nuwakot,Nuwakot,966,27.1,NA,2020
Lukla Airport,Solukhumbhu,2786,NA,NA,2020
Chisapani Karnali ,Kailali,201,29.1,19,2020
Godavari,,NA,22.7,NA,2020
Jyamirebari,,1525,NA,NA,2020
Lete,Mustang,2617,17,NA,2020
Nepalgunj Airport,,NA,30.5,NA,2020
Okhaldhunga,,1725,21.6,NA,2020
Baitadi Gothalapani ,Baitadi,1352,25.3,NA,2021
Patan West ,Baitadi,1292,NA,NA,2021
Dadeldhura,Dadeldhura,1879,22,NA,2021
Mahendra Nagar,Kanchanpur,197,30.8,NA,2021
Darchula,Darchula,945,NA,NA,2021
Dainsili Sidhhapur ,Baitadi,2083,22.8,NA,2021
Darchula New,Darchula,887,28.5,NA,2021
Patan new,Baitadi,1299,25,NA,2021
Silgadhi Doti,Doti,1309,NA,NA,2021
Bajura Martadi ,Bajura,1598,23.6,NA,2021
Tikapur,Kailali,149,30.9,NA,2021
Dhangadhi Attariya ,Kailali,184,30.5,NA,2021
Godavari West ,Kailali,280,30.8,NA,2021
Mangalsen,Achham,1310,NA,NA,2021
Dipayal Doti ,Doti,563,30.4,NA,2021
Oli Gaun Patkani ,Achham,989,25.2,NA,2021
Gokuleshwar,Kailali,761,28.4,NA,2021
Chainpur Bajhang AWS,,1405,25.7,NA,2021
Jumla,Jumla,2363,21,NA,2021
Gam Shree Nagar,Mugu,2113,21.5,NA,2021
Rara,Mugu,2989,14.9,NA,2021
Nagma,Kalikot,2017,21.6,NA,2021
Dipal Gaun,Jumla,2422,NA,NA,2021
Simikot,Humla,2993,15.9,NA,2021
Dunai,Dolpa,2098,23.9,NA,2021
Manma,kalikot,1729,21.9,NA,2021
Kaigaun,Dolpa,2683,NA,NA,2021
Jumla Airport,Jumla,2384,20.5,NA,2021
Pusma Camp,Surkhet,953,25.2,NA,2021
Dailekh,Dailekh,1394,24.7,15,2021
"Surkhet Airport, Birendranagar ",Surkhet,683,28.8,NA,2021
Gulariya,Bardiya,126,30.2,NA,2021
Khajura Nepalganj ,Banke,129,30.8,NA,2021
Nepalgunj Reg Off ,Banke,141,30.1,NA,2021
Rani Jaruwa Nursery,Bardiya,145,NA,NA,2021
Sikta,Banke,161,30.9,NA,2021
Mehalkuna,Surkhet,464,30.4,NA,2021
Libang Gaun,Rolpa,1314,26.4,13,2021
Bijuwar Tar,Pyuthan,835,28.4,16,2021
Tulsipur,Dang,683,NA,NA,2021
Salyan Bazar,Salyan,1557,NA,14,2021
Chaurjhari Tar,Rukum,863,27.6,NA,2021
Musikot Rukumkot ,Rukum,1412,24.7,NA,2021
Ghorai Dang ,Dang,663,28.4,NA,2021
Jomsom,Mustang,0,17.3,NA,2021
Jomsom Resort,Mustang,2846,20.8,NA,2021
Thakmarpha,Mustang,2655,17.3,NA,2021
Baglung,Baglung,964,27.4,NA,2021
Bahrabise,Sindhupalchok,,28.3,NA,2021
Kushma,Parbat,900,28.4,NA,2021
Gurja Khani,Myagdi,2627,NA,NA,2021
Bhimgithhe,Baglung,1008,25.7,NA,2021
Chhoser,Mustang,3886,14.4,NA,2021
Tansen,Palpa,1183,25.9,NA,2021
Bhairahawa Airport,Rupandehi,108,31.4,NA,2021
Dumkauli,Nawalpur,183,32.7,NA,2021
Bhairahawa Agric ,Rupandehi,112,30.5,NA,2021
Parasi,Nawalparasi,112,NA,NA,2021
Khanchikot,Arghakhachi,1801,21.2,NA,2021
Taulihawa,Kapilvastu,106,29.8,NA,2021
Tamghas,Gulmi,1547,22.4,NA,2021
Semari,Nawalparasi,110,30.4,NA,2021
Lumbini,Rupandehi,95,30.4,NA,2021
Anp Chour,,738,30.4,NA,2021
Sandhikharka,Arghakhachi,1030,27.3,NA,2021
Khudi Bazar,Lamjung,838,27,NA,2021
Pokhara Airport,Kaski,803.9,27.3,NA,2021
Syangja,Syangja,871,26.3,NA,2021
Bandipur,Tanahu,991,25.4,NA,2021
Gorkha Birenchowk ,Gorkha,724,27.1,NA,2021
Chapakot,Syangja,617,29.3,NA,2021
Malepatan Pokhara ,Kaski,859,26.7,NA,2021
Lumle,Kaski,1738,20.5,NA,2021
Khairini Tar,Tanahun,515,29.1,NA,2021
Damauli,Tanahun,347,29.2,NA,2021
Dandaswara,Syangja,1316,23.9,NA,2021
Ghalekharka,Kaski,1665,21.4,13,2021
Begnas,Kaski,682,28.5,NA,2021
Bhorletar,Lamjung,469,NA,NA,2021
Panchase,Parbat,2492,NA,NA,2021
Humde,Manang,3401,13.2,NA,2021
Rampur,Chitwan,189,30.4,NA,2021
Daman,Makwanpur,2265,18.7,NA,2021
Hetauda N F I ,Makwanpur,452,29.2,NA,2021
Simara Airport,Bara,137,30.4,NA,2021
Parwanipur,Bara,87,30.2,NA,2021
Birganj,Parsa,67,31,NA,2021
Kalaiya,Bara,100,30.2,NA,2021
Gaur,Rautahat,77,NA,NA,2021
Bharatpur,Chitwan,216,30.8,NA,2021
Kakani,Nuwakot,2002,19.5,NA,2021
Chautara,Sindhupalchok,1552,25,13,2021
Sarmathang,Sindhupalchok,2574,16.5,NA,2021
Dhulikhel,Kavre,1543,24,NA,2021
Khumaltar,Lalitpur,1334,24.7,NA,2021
Kathmandu Airport,,1337,25.6,NA,2021
Panchkhal,Kavre,857,28.7,NA,2021
Dhunibesi,Dhading,991,27.5,NA,2021
Panipokhari Kathmandu ,Kathmandu,1329,26.5,NA,2021
Nagarkot,Bhaktapur,,19.4,NA,2021
Bhaktapur,Bhaktapur,1315,25.9,NA,2021
Dhunche,Rasuwa,2005,20,NA,2021
Pansayakhola,Nuwakot,1982,NA,NA,2021
Changu Narayan,Bhaktapur,1502,NA,NA,2021
Khokana,Lalitpur,1309,25.1,NA,2021
Charikot,Dolakha,2132,23.1,NA,2021
Jiri,Dolakha,1877,21,NA,2021
Sindhuli Madhi,Sindhuli,556,29.3,NA,2021
Janakpur Airport,Dhanusha,76,30.6,NA,2021
Hardinath,Dhanusha,93,29.8,NA,2021
Manusmara,Sarlahi,90,29.9,NA,2021
Karmaiya,Sarlahi,139,NA,NA,2021
Jalesor,Mahottari,68,30.4,NA,2021
Manthali,Ramechhap,497,30.4,NA,2021
Kabre,Dolakha,1755,23.9,NA,2021
Phattepur,Saptari,101,30.5,NA,2021
Udayapur Gadhi,,469,29.6,NA,2021
Lahan,Siraha,110,30.8,NA,2021
Siraha,,63,31.1,NA,2021
Salleri,,2383,19.9,NA,2021
Diktel,Khotang,1612,22.3,NA,2021
Rajbiraj,Saptari,68,31.1,NA,2021
Num,Sankhuwasabha,1494,NA,NA,2021
Chainpur East ,Sankhuwasabha,1277,NA,NA,2021
Pakhribas,Dhankuta,1720,21.6,NA,2021
Dhankuta,Dhankuta,1192,25.8,NA,2021
Dharan Bazar,sunsari,310,30,NA,2021
Terhathum,,1525,23.2,NA,2021
Chatara,Sunsari,105,31.8,NA,2021
Biratnagar Airport,Morang,72,30.3,NA,2021
Tarahara,Sunsari,120,30,NA,2021
Tumlingtar,Sankhuwasabha,477,NA,NA,2021
Khadbari,Sankhuwasabha,1064,NA,NA,2021
Taplejung,Taplejung,1744,21.7,NA,2021
Ilam Tea Estate,Ilam,1208,NA,NA,2021
Damak,Jhapa,119,31.1,NA,2021
Chandra Gadhi,Jhapa,90,31.1,NA,2021
Kanyam Tea Estate,Ilam,1570,21,NA,2021
Phidim Panchther ,Panchthar,1157,26.8,NA,2021
Dovan,TAPLEJUNG,700,NA,NA,2021
Gaida Kankai ,Jhapa,107,30.6,NA,2021
Kechana,Jhapa,71,NA,NA,2021
Nuwakot,Nuwakot,966,27.5,NA,2021
Lukla Airport,Solukhumbhu,2786,NA,NA,2021
Chisapani Karnali ,Kailali,201,29.9,20,2021
Godavari,,NA,23.4,NA,2021
Jyamirebari,,1525,22.3,13,2021
Lete,Mustang,2617,16.7,NA,2021
Nepalgunj Airport,,NA,30.9,NA,2021
Okhaldhunga,,1725,22.3,NA,2021
Baitadi Gothalapani ,Baitadi,1352,NA,13.4,2022
Patan West ,Baitadi,1292,NA,NA,2022
Dadeldhura,Dadeldhura,1879,NA,11.7,2022
Mahendra Nagar,Kanchanpur,197,NA,19,2022
Darchula,Darchula,945,NA,NA,2022
Dainsili Sidhhapur ,Baitadi,2083,NA,11.2,2022
Darchula New,Darchula,887,NA,15.2,2022
Patan new,Baitadi,1299,NA,10.9,2022
Silgadhi Doti,Doti,1309,NA,14.2,2022
Bajura Martadi ,Bajura,1598,NA,12.6,2022
Tikapur,Kailali,149,NA,18.2,2022
Dhangadhi Attariya ,Kailali,184,NA,18.6,2022
Godavari West ,Kailali,280,NA,21.7,2022
Mangalsen,Achham,1310,NA,13.2,2022
Dipayal Doti ,Doti,563,NA,16.5,2022
Oli Gaun Patkani ,Achham,989,NA,15.3,2022
Gokuleshwar,Kailali,761,NA,14.7,2022
Chainpur Bajhang AWS,,1405,NA,12.3,2022
Jumla,Jumla,2363,NA,6.1,2022
Gam Shree Nagar,Mugu,2113,NA,11,2022
Rara,Mugu,2989,NA,4,2022
Nagma,Kalikot,2017,NA,8.8,2022
Dipal Gaun,Jumla,2422,NA,5.8,2022
Simikot,Humla,2993,NA,5.6,2022
Dunai,Dolpa,2098,NA,6.8,2022
Manma,kalikot,1729,NA,12.3,2022
Kaigaun,Dolpa,2683,NA,NA,2022
Jumla Airport,Jumla,2384,NA,5.4,2022
Pusma Camp,Surkhet,953,NA,NA,2022
Dailekh,Dailekh,1394,24.3,14.6,2022
"Surkhet Airport, Birendranagar ",Surkhet,683,NA,16.2,2022
Gulariya,Bardiya,126,NA,19,2022
Khajura Nepalganj ,Banke,129,NA,19,2022
Nepalgunj Reg Off ,Banke,141,NA,19.9,2022
Rani Jaruwa Nursery,Bardiya,145,NA,NA,2022
Sikta,Banke,161,NA,18.8,2022
Mehalkuna,Surkhet,464,30.5,17.1,2022
Libang Gaun,Rolpa,1314,26.4,13.3,2022
Bijuwar Tar,Pyuthan,835,29.4,16.1,2022
Tulsipur,Dang,683,NA,NA,2022
Salyan Bazar,Salyan,1557,20.5,14.1,2022
Chaurjhari Tar,Rukum,863,NA,13.6,2022
Musikot Rukumkot ,Rukum,1412,NA,14.1,2022
Ghorai Dang ,Dang,663,NA,17.4,2022
Jomsom,Mustang,0,NA,4,2022
Jomsom Resort,Mustang,2846,NA,NA,2022
Thakmarpha,Mustang,2655,NA,4.6,2022
Baglung,Baglung,964,NA,15.4,2022
Bahrabise,Sindhupalchok,,28.7,14.7,2022
Kushma,Parbat,900,NA,15.5,2022
Gurja Khani,Myagdi,2627,NA,NA,2022
Bhimgithhe,Baglung,1008,NA,12.9,2022
Chhoser,Mustang,3886,NA,NA,2022
Tansen,Palpa,1183,NA,15.8,2022
Bhairahawa Airport,Rupandehi,108,NA,19.7,2022
Dumkauli,Nawalpur,183,NA,19.7,2022
Bhairahawa Agric ,Rupandehi,112,NA,19.9,2022
Parasi,Nawalparasi,112,NA,19.4,2022
Khanchikot,Arghakhachi,1801,NA,13,2022
Taulihawa,Kapilvastu,106,NA,19.3,2022
Tamghas,Gulmi,1547,NA,12.8,2022
Semari,Nawalparasi,110,NA,19.7,2022
Lumbini,Rupandehi,95,NA,19.9,2022
Anp Chour,,738,NA,NA,2022
Sandhikharka,Arghakhachi,1030,NA,14.2,2022
Khudi Bazar,Lamjung,838,NA,15.3,2022
Pokhara Airport,Kaski,803.9,NA,16.5,2022
Syangja,Syangja,871,NA,16,2022
Bandipur,Tanahu,991,NA,12.1,2022
Gorkha Birenchowk ,Gorkha,724,NA,17.1,2022
Chapakot,Syangja,617,NA,17.5,2022
Malepatan Pokhara ,Kaski,859,NA,15.6,2022
Lumle,Kaski,1738,NA,12.2,2022
Khairini Tar,Tanahun,515,NA,17.9,2022
Damauli,Tanahun,347,NA,19.2,2022
Dandaswara,Syangja,1316,NA,NA,2022
Ghalekharka,Kaski,1665,21.6,12.7,2022
Begnas,Kaski,682,NA,16.6,2022
Bhorletar,Lamjung,469,NA,NA,2022
Panchase,Parbat,2492,NA,NA,2022
Humde,Manang,3401,NA,NA,2022
Rampur,Chitwan,189,30.5,18.6,2022
Daman,Makwanpur,2265,19,9.2,2022
Hetauda N F I ,Makwanpur,452,NA,NA,2022
Simara Airport,Bara,137,30.3,19.6,2022
Parwanipur,Bara,87,30.4,19.4,2022
Birganj,Parsa,67,31.5,20.7,2022
Kalaiya,Bara,100,30.4,20.4,2022
Gaur,Rautahat,77,31.5,18.5,2022
Bharatpur,Chitwan,216,30.8,19.9,2022
Kakani,Nuwakot,2002,19.3,11.5,2022
Chautara,Sindhupalchok,1552,25.6,13.5,2022
Sarmathang,Sindhupalchok,2574,17,8.1,2022
Dhulikhel,Kavre,1543,24.1,12.8,2022
Khumaltar,Lalitpur,1334,25.2,13.4,2022
Kathmandu Airport,,1337,25.6,14,2022
Panchkhal,Kavre,857,28.9,15.3,2022
Dhunibesi,Dhading,991,NA,16,2022
Panipokhari Kathmandu ,Kathmandu,1329,26.3,14.4,2022
Nagarkot,Bhaktapur,,19.3,10.3,2022
Bhaktapur,Bhaktapur,1315,26.9,13,2022
Dhunche,Rasuwa,2005,20,10.8,2022
Pansayakhola,Nuwakot,1982,NA,9.2,2022
Changu Narayan,Bhaktapur,1502,25.9,13.7,2022
Khokana,Lalitpur,1309,25.9,12,2022
Charikot,Dolakha,2132,22.5,10.3,2022
Jiri,Dolakha,1877,21,9.3,2022
Sindhuli Madhi,Sindhuli,556,29.1,17.2,2022
Janakpur Airport,Dhanusha,76,30.8,20.1,2022
Hardinath,Dhanusha,93,30.1,20.2,2022
Manusmara,Sarlahi,90,30.1,19.9,2022
Karmaiya,Sarlahi,139,30.9,20.5,2022
Jalesor,Mahottari,68,31.1,20.6,2022
Manthali,Ramechhap,497,30.8,17.3,2022
Kabre,Dolakha,1755,23.9,12,2022
Phattepur,Saptari,101,30.3,19.4,2022
Udayapur Gadhi,,469,29.5,18.8,2022
Lahan,Siraha,110,30.9,20.1,2022
Siraha,,63,31.2,20.5,2022
Salleri,,2383,NA,NA,2022
Diktel,Khotang,1612,22.1,14.1,2022
Rajbiraj,Saptari,68,30.5,20.3,2022
Num,Sankhuwasabha,1494,22.7,13.3,2022
Chainpur East ,Sankhuwasabha,1277,NA,15.4,2022
Pakhribas,Dhankuta,1720,NA,12.9,2022
Dhankuta,Dhankuta,1192,NA,15.5,2022
Dharan Bazar,sunsari,310,NA,20,2022
Terhathum,,1525,NA,13.8,2022
Chatara,Sunsari,105,NA,19.6,2022
Biratnagar Airport,Morang,72,NA,19.7,2022
Tarahara,Sunsari,120,NA,19,2022
Tumlingtar,Sankhuwasabha,477,NA,16.4,2022
Khadbari,Sankhuwasabha,1064,NA,16.8,2022
Taplejung,Taplejung,1744,NA,12.4,2022
Ilam Tea Estate,Ilam,1208,NA,15.9,2022
Damak,Jhapa,119,NA,16,2022
Chandra Gadhi,Jhapa,90,NA,NA,2022
Kanyam Tea Estate,Ilam,1570,NA,14,2022
Phidim Panchther ,Panchthar,1157,NA,15.5,2022
Dovan,TAPLEJUNG,700,NA,NA,2022
Gaida Kankai ,Jhapa,107,NA,18.9,2022
Kechana,Jhapa,71,NA,20.1,2022
Nuwakot,Nuwakot,966,27.2,16.6,2022
Lukla Airport,Solukhumbhu,2786,NA,5.4,2022
Chisapani Karnali ,Kailali,201,29.9,20.2,2022
Godavari,,NA,23.6,11,2022
Jyamirebari,,1525,NA,NA,2022
Lete,Mustang,2617,NA,8,2022
Nepalgunj Airport,,NA,NA,19.4,2022
Okhaldhunga,,1725,22.3,13.3,2022